status,is_placeholder,sdc_rate,requested_sdc,actual_sdc,total_cores,num_nodes,runs_ok,process_time_s_mean,process_time_s_median,speedup_vs_80_mean,efficiency_vs_80_mean,first_tree_s_mean,twin_tree_s_mean,traversal_s_mean,third_tree_s_mean,overhead_vs_first_s_mean,recovery_overhead_s_mean
incomplete,0,0.000002,1,1,40,1,0,,,,,48.951713295,48.123796595,0.907040256,,,
missing,1,0.000002,2,,40,1,0,,,,,,,,,,
missing,1,0.000002,3,,40,1,0,,,,,,,,,,
missing,1,0.000002,4,,40,1,0,,,,,,,,,,
missing,1,0.000006,3,,40,1,0,,,,,,,,,,
missing,1,0.000006,4,,40,1,0,,,,,,,,,,
missing,1,0.000006,5,,40,1,0,,,,,,,,,,
missing,1,0.000006,6,,40,1,0,,,,,,,,,,
incomplete,0,0.000002,1,0,80,2,0,,,,,,,,,,
ok,0,0.000002,1,1,80,2,20,66.13420858065,66.00511372,1.0,1.0,26.37169620585,26.26919370695,0.13067940584999999,13.35930442165,39.7625123748,39.75917753445
incomplete,0,0.000002,2,0,80,2,0,,,,,,,,,,
ok,0,0.000002,2,2,80,2,7,66.190809027,66.214399334,1.0,1.0,26.31376259457143,26.29416109914286,0.13136755457142857,13.448449208571429,39.87704643242857,39.87397786228571
incomplete,0,0.000002,3,0,80,2,0,,,,,,,,,,
ok,0,0.000002,3,2,80,2,2,67.07908644,67.07908644,1.0,1.0,26.485643903000003,26.706520074,0.147302712,13.7360799575,40.593442537,40.589902743500005
ok,0,0.000002,4,2,80,2,7,66.70137734514286,67.177698918,1.0,1.0,26.59257657742857,26.44751698942857,0.14005094857142858,13.517949088285715,40.108800767714285,40.10551702628572
ok,0,0.000006,3,3,80,2,15,72.79902139706667,72.74509977,1.0,1.0,26.400987092133334,26.239496446666667,0.1117382394,20.043389356133332,46.39803430493333,46.3946240422
ok,0,0.000006,4,4,80,2,4,78.763714257,78.9130933665,1.0,1.0,26.278259221749998,26.25664801775,0.08775805375,26.137697959,52.48545503525,52.4821040305
ok,0,0.000006,5,5,80,2,8,79.40838101225,79.4929258865,1.0,1.0,26.481534822625,26.44515204,0.093033125625,26.38562640525,52.926846189625,52.923811570875
incomplete,0,0.000006,6,0,80,2,0,,,,,,,,,,
ok,0,0.000006,6,6,80,2,6,79.74132906599999,79.595437705,1.0,1.0,26.700469597833333,26.524322303833333,0.1014865155,26.41143601816667,53.040859468166666,53.0372448375
incomplete,0,0.000002,1,0,160,4,0,,,,,,,,,,
ok,0,0.000002,1,1,160,4,18,36.765511722444444,36.893205729,1.7988110455233153,0.8994055227616576,14.670724205333332,14.45079642161111,0.16465127277777777,7.474484400444444,22.09478751711111,22.089932094833333
incomplete,0,0.000002,2,0,160,4,0,,,,,,,,,,
ok,0,0.000002,2,2,160,4,7,36.86763385528572,36.755506348,1.795363632144519,0.8976818160722595,14.721392184428572,14.493933393714286,0.1720077277142857,7.475354549428571,22.146241670857144,22.141295670857144
ok,0,0.000002,3,2,160,4,3,36.784025596999996,36.816480236,1.8235928599797078,0.9117964299898539,14.717822788,14.445221098,0.153741163,7.462364076666667,22.066202808999996,22.061326337666667
incomplete,0,0.000002,4,0,160,4,0,,,,,,,,,,
